player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Bradley Chubb,2018,ED,North Carolina State,DEN_John Elway,0,IND_Chris Ballard,0.044051904,NYG_Joe Schoen,0.037697148,LA_Les Snead,0.02938197,DAL_Jerry Jones,0.023770621,NO_Mickey Loomis,0.023580056
Marquez Valdes-Scantling,2018,WR,South Florida,GB_Brian Gutekunst,0,CIN_Mike Brown,0.044051066,GB_Brian Gutekunst,0.038820546,PHI_Howie Roseman,0.026659248,BAL_Eric DeCosta,0.020898577,DAL_Jerry Jones,0.018987006
Jeremy Sprinkle,2017,TE,Arkansas,WAS_Bruce Allen,0,CIN_Mike Brown,0.04403928,DAL_Jerry Jones,0.033032347,IND_Chris Ballard,0.03021276,CHI_Ryan Poles,0.030148318,TEN_Ran Carthon,0.029958889
Jerome Harrison,2006,RB,Washington State,CLE_Phil Savage,0,PIT_Omar Khan,0.044033423,CIN_Mike Brown,0.039681986,BAL_Eric DeCosta,0.03273657,LA_Les Snead,0.029865146,DAL_Jerry Jones,0.029849138
Levine Toilolo,2013,TE,Stanford,ATL_Thomas Dimitroff,0,BAL_Eric DeCosta,0.044019252,MIA_Chris Grier,0.027274804,SEA_John Schneider,0.026954876,DAL_Jerry Jones,0.022063818,IND_Chris Ballard,0.020656586
Cameron Heyward,2011,DT,Ohio State,PIT_Kevin Colbert,0,CLE_Andrew Berry,0.043958418,MIA_Chris Grier,0.03383001,ATL_Terry Fontenot,0.029510912,NO_Mickey Loomis,0.026725981,BAL_Eric DeCosta,0.026670465
Ja'Wuan James,2014,T,Tennessee,MIA_Dennis Hickey,0,BUF_Brandon Beane,0.043954194,MIA_Chris Grier,0.03580618,BAL_Eric DeCosta,0.02426302,SEA_John Schneider,0.021334223,CIN_Mike Brown,0.020862363
Alex Cappa,2018,T,Humboldt State,TB_Jason Licht,0,NYG_Joe Schoen,0.043935373,ARI_Monti Ossenfort,0.03715307,BUF_Brandon Beane,0.03176771,CHI_Ryan Poles,0.027359435,BAL_Eric DeCosta,0.022059089
Shon Coleman,2016,T,Auburn,CLE_Sashi Brown,0,NYJ_Joe Douglas,0.043931805,BAL_Eric DeCosta,0.03551681,DAL_Jerry Jones,0.030640896,SEA_John Schneider,0.023481943,CIN_Mike Brown,0.019902995
Jamin Davis,2021,LB,Kentucky,WAS_Daniel Snyder,0,DEN_George Paton,0.043927822,DET_Brad Holmes,0.042761195,ATL_Terry Fontenot,0.035936583,TB_Jason Licht,0.031117989,HOU_Nick Caserio,0.027057733
